Date,Open,High,Low,Close,Adj Close,Volume
11/7/2018,144.130005,149.5,143.139999,148.190002,148.190002,1528700
11/8/2018,148.210007,150.837997,146.389999,149.539993,149.539993,1299900
11/9/2018,147.289993,147.289993,138.600006,140.899994,140.899994,1726700
11/12/2018,139.289993,139.309998,130.899994,135.539993,135.539993,1687000
11/13/2018,136.5,140.539993,134.169998,138.779999,138.779999,1404500
11/14/2018,140.940002,144.5,139.610001,142.759995,142.759995,1359400
11/15/2018,142.520004,151.270004,141.5,150.089996,150.089996,1868300
11/16/2018,146.669998,151.509995,145.130005,151.020004,151.020004,1218500
11/19/2018,150.300003,151.210007,133.589996,133.75,133.75,2248500
11/20/2018,122.519997,136.419998,122,134.350006,134.350006,2195700
11/21/2018,138.970001,140.119995,132.460007,132.610001,132.610001,1252900
11/23/2018,131.270004,136.199997,129.645996,134.809998,134.809998,673100
11/26/2018,137.880005,144.520004,137.479996,144.440002,144.440002,1581400
11/27/2018,142,146.899994,141.789993,144.470001,144.470001,1056100
11/28/2018,146.410004,150.020004,145.009995,149.960007,149.960007,1255400
11/29/2018,150,151.460007,146.251007,149.039993,149.039993,1133500
11/30/2018,149.029999,152.889999,147.800003,152.660004,152.660004,1071300
12/3/2018,156.559998,159.100006,154,156.389999,156.389999,1496200
12/4/2018,155,159.100006,149.350006,150.199997,150.199997,1481000
12/6/2018,143.089996,157.270004,142.300003,156.899994,156.899994,1639900
12/7/2018,156.979996,159.899994,145.199997,146.880005,146.880005,1636400
12/10/2018,146.070007,151.589996,143.910004,151.5,151.5,1247500
12/11/2018,154.960007,158.830002,153.110001,154.669998,154.669998,1530800
12/12/2018,157.990005,163.770004,157.440002,160.089996,160.089996,1411800
12/13/2018,160.979996,164.130005,159.490005,161.059998,161.059998,1238700
12/14/2018,147.970001,149.020004,140,140.169998,140.169998,6374100
12/17/2018,139.919998,139.919998,128.789993,129.660004,129.660004,5015900
12/18/2018,133.630005,136.199997,131.610001,134.389999,134.389999,2575000
12/19/2018,135,140.529999,131.690002,133.190002,133.190002,2690500
12/20/2018,131.210007,134.960999,121.5,127.709999,127.709999,3429400
12/21/2018,128.300003,128.630005,121.849998,122.410004,122.410004,2483200
12/24/2018,118.949997,122.870003,117.639999,119.099998,119.099998,1306000
12/26/2018,121.379997,130.550003,121.379997,130.210007,130.210007,1627300
12/27/2018,126.440002,132.600006,125.040001,132.399994,132.399994,1461100
12/28/2018,134.119995,136.130005,129.419998,133.460007,133.460007,1376500
12/31/2018,136.020004,140.533997,135.072006,138.449997,138.449997,1684200
1/2/2019,134,139.139999,131.169998,137.600006,137.600006,1232600
1/3/2019,134.759995,136.259995,129.479996,129.789993,129.789993,1219500
1/4/2019,134.509995,139.5,133.160004,138.059998,138.059998,1366100
1/7/2019,139.649994,145.850006,138.740005,144.389999,144.389999,1260000
1/8/2019,147.639999,149.820007,144.009995,145.440002,145.440002,1367700
1/9/2019,146.5,150.330002,144.399994,148.619995,148.619995,1275700
1/10/2019,146.309998,149.970001,144.580002,148.270004,148.270004,965200
1/11/2019,147.309998,150,146.710007,149.429993,149.429993,685300
1/14/2019,147.270004,149.929993,144.690002,149.100006,149.100006,1455200
1/15/2019,149.589996,155.539993,149.589996,154.300003,154.300003,1638200
1/16/2019,155.699997,158.589996,153.300003,158.25,158.25,2142000
1/17/2019,156.600006,159.979996,155.820007,157.690002,157.690002,1242500
1/18/2019,160,160.229996,157.690002,158.429993,158.429993,1142900
1/22/2019,157.229996,158.570007,154.100006,156.279999,156.279999,1036400
1/23/2019,158.199997,160.199997,154.479996,156.600006,156.600006,793500
1/24/2019,156.479996,159.399994,156.25,158.410004,158.410004,655200
1/25/2019,160,163.639999,159.785004,162.820007,162.820007,980300
1/28/2019,159.679993,161.182007,158.380005,159.440002,159.440002,807200
1/29/2019,160,160.5,154.520004,157.110001,157.110001,1040900
1/30/2019,159.970001,162.979996,158,162.429993,162.429993,712400
1/31/2019,162.470001,169.600006,161.919998,168.470001,168.470001,1661600
2/1/2019,168.360001,171,167.509995,170.589996,170.589996,1248400
2/4/2019,170.619995,174.649994,170.259995,173.550003,173.550003,1172000
2/5/2019,173.649994,176.880005,173.360001,173.570007,173.570007,969500
2/6/2019,172.369995,174.5,170.699997,173.600006,173.600006,736300
2/7/2019,171.279999,174.179993,171.087997,171.800003,171.800003,1408200
2/8/2019,170.220001,176.990005,169.600006,175.949997,175.949997,979500
2/11/2019,178.050003,180,172.934998,173.169998,173.169998,2220100
2/12/2019,163.649994,175.889999,160.630005,175.550003,175.550003,5928000
2/13/2019,178.190002,180,171.039993,172.020004,172.020004,2982700
2/14/2019,171.089996,177.240005,169.559998,176.520004,176.520004,1607600
2/15/2019,177.100006,178.720001,173.710007,178.190002,178.190002,1129200
2/19/2019,177.039993,185.070007,177.039993,181.300003,181.300003,2282800
2/20/2019,181.649994,184.190002,177.460007,179.210007,179.210007,1330600
2/21/2019,179.639999,180.358994,177.179993,178.470001,178.470001,974400
2/22/2019,180,183.660004,179.356995,183.630005,183.630005,1017600
2/25/2019,185.820007,188.759995,184.479996,187.5,187.5,1271600
2/26/2019,186.080002,187.929993,183.850006,185.029999,185.029999,1045100
2/27/2019,185.169998,189.259995,184.800003,189.199997,189.199997,908200
2/28/2019,188.279999,191.130005,187.490005,189.149994,189.149994,865400
3/1/2019,190.850006,192.779999,189.292007,191.520004,191.520004,1126200
3/4/2019,192.380005,194.802994,182.369995,186.470001,186.470001,1606200
3/5/2019,186.570007,189.160004,184.350006,187.5,187.5,1005800
3/6/2019,187.5,188.770004,184.110001,187.369995,187.369995,723800
3/7/2019,186.509995,190.380005,184.800003,186.940002,186.940002,734900
3/8/2019,182.179993,190,181,189.759995,189.759995,1262700
3/11/2019,190.990005,200.740005,190.990005,200.389999,200.389999,2058500
3/12/2019,201,203.789993,197.050003,202.470001,202.470001,1328700
3/13/2019,203.5,206.949997,202.360001,205.509995,205.509995,1177500
3/14/2019,204.320007,209.589996,203.389999,208.229996,208.229996,1219000
3/15/2019,208.869995,209.410004,203.619995,205.979996,205.979996,2337300
